時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021-07-16 11:00:00,159.0,182.2,375.8,758.2,901.2,369.4,615.0,281.2
2021-07-16 12:00:00,144.6,178.6,371.6,757.0,901.2,368.4,618.2,272.8
2021-07-16 13:00:00,149.2,185.2,379.6,756.4,902.4,368.6,616.2,272.6
2021-07-16 14:00:00,150.2,188.4,373.4,763.8,902.4,367.6,616.2,268.0
2021-07-16 15:00:00,148.6,181.4,369.6,764.8,903.8,368.2,615.4,265.2
2021-07-16 16:00:00,145.0,158.6,364.8,764.0,904.6,368.6,614.2,256.8
2021-07-16 17:00:00,141.6,99.6,354.4,762.6,904.0,367.8,615.6,186.2
2021-07-16 18:00:00,124.8,42.8,229.4,758.0,902.4,366.8,611.6,114.6
2021-07-16 19:00:00,113.4,36.8,184.0,754.0,901.8,366.4,607.6,70.0
2021-07-16 20:00:00,95.2,14.0,163.0,752.4,898.4,364.4,602.0,56.8
2021-07-16 21:00:00,75.6,12.6,143.4,754.8,897.8,364.0,600.2,50.2
2021-07-16 22:00:00,54.2,12.8,123.4,753.0,897.6,364.2,598.6,47.6
2021-07-16 23:00:00,40.4,12.2,108.8,751.4,896.4,363.4,597.4,45.8
2021-07-17 00:00:00,32.6,10.6,87.2,751.4,895.2,362.6,586.0,40.8
2021-07-17 01:00:00,32.2,10.2,86.0,748.8,893.8,362.6,585.4,40.6
2021-07-17 02:00:00,32.4,10.4,86.6,744.8,892.8,361.6,584.6,40.4
2021-07-17 03:00:00,32.4,10.2,86.4,741.6,893.4,361.4,584.4,40.2
2021-07-17 04:00:00,32.2,10.2,86.6,739.4,893.8,361.2,584.4,40.2
2021-07-17 05:00:00,32.6,10.2,88.8,737.0,893.0,359.4,583.4,40.6
2021-07-17 06:00:00,32.4,10.0,90.8,737.4,895.0,358.6,583.2,41.8
2021-07-17 07:00:00,34.4,10.6,107.2,739.4,897.2,362.8,589.6,42.2
2021-07-17 08:00:00,37.8,11.0,117.0,745.2,898.2,365.2,595.6,45.4
2021-07-17 09:00:00,44.6,11.4,113.4,753.0,899.4,366.4,595.2,48.2
2021-07-17 10:00:00,45.8,11.8,115.8,757.6,900.8,367.8,596.6,48.8
2021-07-17 11:00:00,45.4,11.8,122.2,758.2,901.2,369.4,599.2,48.2
2021-07-17 12:00:00,46.4,12.0,125.4,757.0,901.2,368.4,603.8,48.0
2021-07-17 13:00:00,45.4,12.0,121.2,756.4,902.4,368.6,601.6,47.8
2021-07-17 14:00:00,46.4,12.0,129.0,763.8,902.4,367.6,601.6,48.2
2021-07-17 15:00:00,45.8,12.0,120.8,764.8,903.8,368.2,602.0,48.0
2021-07-17 16:00:00,44.8,11.8,118.8,764.0,904.6,368.6,600.4,46.6
2021-07-17 17:00:00,41.4,11.2,126.4,762.6,904.0,367.8,601.6,45.4
2021-07-17 18:00:00,37.0,10.8,115.6,758.0,902.4,366.8,600.8,44.6
2021-07-17 19:00:00,35.8,10.6,111.0,754.0,901.8,366.4,598.0,43.8
2021-07-17 20:00:00,34.4,10.6,107.8,752.4,898.4,364.4,591.4,42.4
2021-07-17 21:00:00,33.4,10.6,106.4,754.8,897.8,364.0,589.8,42.2
2021-07-17 22:00:00,33.4,10.6,96.0,753.0,897.6,364.2,588.6,41.6
2021-07-17 23:00:00,33.0,10.4,93.8,751.4,896.4,363.4,587.4,41.2
2021-07-18 00:00:00,30.8,10.6,87.2,751.4,895.2,362.6,586.0,40.8
2021-07-18 01:00:00,30.4,10.2,86.0,748.8,893.8,362.6,585.4,40.6
2021-07-18 02:00:00,30.4,10.4,86.6,744.8,892.8,361.6,584.6,40.4
2021-07-18 03:00:00,30.4,10.2,86.4,741.6,893.4,361.4,584.4,40.2
2021-07-18 04:00:00,30.4,10.2,86.6,739.4,893.8,361.2,584.4,40.2
2021-07-18 05:00:00,30.8,10.2,88.8,737.0,893.0,359.4,583.4,40.6
2021-07-18 06:00:00,30.4,10.0,90.8,737.4,895.0,358.6,583.2,41.8
2021-07-18 07:00:00,30.6,10.6,107.2,739.4,897.2,362.8,589.6,42.2
2021-07-18 08:00:00,31.2,11.0,117.0,745.2,898.2,365.2,595.6,45.4
2021-07-18 09:00:00,32.0,11.4,113.4,753.0,899.4,366.4,595.2,48.2
2021-07-18 10:00:00,32.2,11.8,115.8,757.6,900.8,367.8,596.6,48.8
2021-07-18 11:00:00,32.4,11.8,122.2,758.2,901.2,369.4,599.2,48.2
2021-07-18 12:00:00,32.6,12.0,125.4,757.0,901.2,368.4,603.8,48.0
2021-07-18 13:00:00,32.8,12.0,121.2,756.4,902.4,368.6,601.6,47.8
2021-07-18 14:00:00,33.4,12.0,129.0,763.8,902.4,367.6,601.6,48.2
2021-07-18 15:00:00,33.0,12.0,120.8,764.8,903.8,368.2,602.0,48.0
2021-07-18 16:00:00,32.8,11.8,118.8,764.0,904.6,368.6,600.4,46.6
2021-07-18 17:00:00,32.6,11.2,126.4,762.6,904.0,367.8,601.6,45.4
2021-07-18 18:00:00,32.0,10.8,115.6,758.0,902.4,366.8,600.8,44.6
2021-07-18 19:00:00,32.6,10.6,111.0,754.0,901.8,366.4,598.0,43.8
2021-07-18 20:00:00,32.2,10.6,107.8,752.4,898.4,364.4,591.4,42.4
2021-07-18 21:00:00,31.0,10.6,106.4,754.8,897.8,364.0,589.8,42.2
2021-07-18 22:00:00,30.8,10.6,96.0,753.0,897.6,364.2,588.6,41.6
2021-07-18 23:00:00,30.6,10.4,93.8,751.4,896.4,363.4,587.4,41.2
2021-07-19 00:00:00,34.4,12.0,101.0,751.4,895.2,362.6,596.4,44.4
2021-07-19 01:00:00,34.4,11.8,99.8,748.8,893.8,362.6,596.0,44.2
2021-07-19 02:00:00,34.2,12.0,100.4,744.8,892.8,361.6,595.6,44.0
2021-07-19 03:00:00,34.0,11.6,99.8,741.6,893.4,361.4,594.6,44.2
2021-07-19 04:00:00,34.4,11.8,100.0,739.4,893.8,361.2,593.2,44.6
2021-07-19 05:00:00,35.2,12.2,108.4,737.0,893.0,359.4,592.6,52.8
2021-07-19 06:00:00,47.6,16.4,154.0,737.4,895.0,358.6,592.0,156.4
2021-07-19 07:00:00,105.2,113.2,310.4,739.4,897.2,362.8,598.8,251.6
2021-07-19 08:00:00,152.4,151.6,381.0,745.2,898.2,365.2,608.6,286.8
2021-07-19 09:00:00,170.4,177.4,376.2,753.0,899.4,366.4,610.2,287.8
2021-07-19 10:00:00,179.0,177.6,371.8,757.6,900.8,367.8,612.4,283.8
2021-07-19 11:00:00,183.4,182.2,375.8,758.2,901.2,369.4,615.0,281.2
2021-07-19 12:00:00,168.6,178.6,371.6,757.0,901.2,368.4,618.2,272.8
2021-07-19 13:00:00,172.8,185.2,379.6,756.4,902.4,368.6,616.2,272.6
2021-07-19 14:00:00,172.8,188.4,373.4,763.8,902.4,367.6,616.2,268.0
2021-07-19 15:00:00,172.6,181.4,369.6,764.8,903.8,368.2,615.4,265.2
2021-07-19 16:00:00,166.4,158.6,364.8,764.0,904.6,368.6,614.2,256.8
2021-07-19 17:00:00,162.0,99.6,354.4,762.6,904.0,367.8,615.6,186.2
2021-07-19 18:00:00,141.8,42.8,229.4,758.0,902.4,366.8,611.6,114.6
2021-07-19 19:00:00,126.6,36.8,184.0,754.0,901.8,366.4,607.6,70.0
2021-07-19 20:00:00,107.4,14.0,163.0,752.4,898.4,364.4,602.0,56.8
2021-07-19 21:00:00,83.6,12.6,143.4,754.8,897.8,364.0,600.2,50.2
2021-07-19 22:00:00,62.8,12.8,123.4,753.0,897.6,364.2,598.6,47.6
2021-07-19 23:00:00,47.8,12.2,108.8,751.4,896.4,363.4,597.4,45.8
2021-07-20 00:00:00,35.4,12.0,101.0,751.4,895.2,362.6,596.4,44.4
2021-07-20 01:00:00,35.0,11.8,99.8,748.8,893.8,362.6,596.0,44.2
2021-07-20 02:00:00,34.4,12.0,100.4,744.8,892.8,361.6,595.6,44.0
2021-07-20 03:00:00,34.2,11.6,99.8,741.6,893.4,361.4,594.6,44.2
2021-07-20 04:00:00,34.8,11.8,100.0,739.4,893.8,361.2,593.2,44.6
